"","poly","x","y"
"3519",25,0.092485,-0.482617
"3520",25,0.093042,-0.484202
"3521",25,0.094312,-0.485416
"3522",25,0.094528,-0.485813
"3523",25,0.094895,-0.48649
"3524",25,0.095683,-0.488291
"3525",25,0.096188,-0.489854
"3526",25,0.097481,-0.490403
"3527",25,0.096314,-0.491147
"3528",25,0.095562,-0.491625
"3529",25,0.095209,-0.492391
"3530",25,0.093757,-0.493023
"3531",25,0.092846,-0.493555
"3532",25,0.092845,-0.493591
"3533",25,0.092807,-0.494708
"3534",25,0.093682,-0.494978
"3535",25,0.09448,-0.495212
"3536",25,0.095172,-0.495929
"3537",25,0.096009,-0.496057
"3538",25,0.096726,-0.495697
"3539",25,0.096963,-0.493889
"3540",25,0.098106,-0.492809
"3541",25,0.098826,-0.492409
"3542",25,0.10037,-0.492333
"3543",25,0.100919,-0.491727
"3544",25,0.101916,-0.490896
"3545",25,0.102649,-0.490592
"3546",25,0.102717,-0.492083
"3547",25,0.102356,-0.493343
"3548",25,0.102207,-0.494545
"3549",25,0.10219,-0.495394
"3550",25,0.101422,-0.496745
"3551",25,0.101815,-0.497534
"3552",25,0.099862,-0.497422
"3553",25,0.099897,-0.498974
"3554",25,0.099002,-0.499562
"3555",25,0.098488,-0.499917
"3556",25,0.098433,-0.499955
"3557",25,0.097952,-0.499689
"3558",25,0.096985,-0.500425
"3559",25,0.097631,-0.501545
"3560",25,0.097614,-0.502416
"3561",25,0.098252,-0.503413
"3562",25,0.099042,-0.503855
"3563",25,0.100612,-0.503999
"3564",25,0.101647,-0.503991
"3565",25,0.102533,-0.504824
"3566",25,0.103396,-0.50463
"3567",25,0.104481,-0.50569
"3568",25,0.104825,-0.506711
"3569",25,0.106209,-0.506687
"3570",25,0.106448,-0.507513
"3571",25,0.105749,-0.508897
"3572",25,0.10501,-0.509241
"3573",25,0.104575,-0.510049
"3574",25,0.104713,-0.510704
"3575",25,0.103519,-0.51025
"3576",25,0.102854,-0.509671
"3577",25,0.101959,-0.510575
"3578",25,0.100848,-0.511989
"3579",25,0.100708,-0.510545
"3580",25,0.101288,-0.509545
"3581",25,0.100777,-0.508677
"3582",25,0.100101,-0.508279
"3583",25,0.099262,-0.507183
"3584",25,0.097987,-0.506789
"3585",25,0.097336,-0.506667
"3586",25,0.09679,-0.506031
"3587",25,0.09546,-0.505883
"3588",25,0.093673,-0.505742
"3589",25,0.093066,-0.505986
"3590",25,0.092789,-0.506249
"3591",25,0.092016,-0.506986
"3592",25,0.090541,-0.508303
"3593",25,0.090085,-0.508667
"3594",25,0.089605,-0.50905
"3595",25,0.088133,-0.510175
"3596",25,0.086458,-0.510647
"3597",25,0.085327,-0.510808
"3598",25,0.084823,-0.510879
"3599",25,0.084128,-0.510873
"3600",25,0.081628,-0.511034
"3601",25,0.080178,-0.511423
"3602",25,0.079197,-0.511441
"3603",25,0.07834,-0.511244
"3604",25,0.078146,-0.510402
"3605",25,0.077113,-0.509453
"3606",25,0.07622,-0.509377
"3607",25,0.074773,-0.509134
"3608",25,0.073769,-0.508654
"3609",25,0.071907,-0.50823
"3610",25,0.07101,-0.507384
"3611",25,0.071868,-0.506799
"3612",25,0.072012,-0.506247
"3613",25,0.071998,-0.506241
"3614",25,0.070943,-0.505767
"3615",25,0.070464,-0.505281
"3616",25,0.070693,-0.504854
"3617",25,0.069938,-0.503971
"3618",25,0.068949,-0.504493
"3619",25,0.068551,-0.504002
"3620",25,0.067835,-0.50347
"3621",25,0.06771,-0.502875
"3622",25,0.067618,-0.502382
"3623",25,0.066706,-0.501782
"3624",25,0.066045,-0.501822
"3625",25,0.066293,-0.500611
"3626",25,0.0656,-0.499828
"3627",25,0.064537,-0.499814
"3628",25,0.063483,-0.500286
"3629",25,0.06282,-0.500702
"3630",25,0.062703,-0.501328
"3631",25,0.062571,-0.502035
"3632",25,0.063649,-0.502535
"3633",25,0.065074,-0.502937
"3634",25,0.064269,-0.504353
"3635",25,0.063472,-0.504675
"3636",25,0.062016,-0.503959
"3637",25,0.060233,-0.503089
"3638",25,0.060037,-0.503013
"3639",25,0.059703,-0.502884
"3640",25,0.058279,-0.503013
"3641",25,0.056895,-0.503807
"3642",25,0.055814,-0.503986
"3643",25,0.054492,-0.503757
"3644",25,0.053517,-0.503556
"3645",25,0.052073,-0.503324
"3646",25,0.05132,-0.503147
"3647",25,0.05029,-0.502905
"3648",25,0.047283,-0.501692
"3649",25,0.045545,-0.500987
"3650",25,0.044092,-0.500591
"3651",25,0.042737,-0.500258
"3652",25,0.04094,-0.500231
"3653",25,0.039195,-0.500414
"3654",25,0.037269,-0.500536
"3655",25,0.0342,-0.501083
"3656",25,0.033341,-0.501471
"3657",25,0.032764,-0.501915
"3658",25,0.032369,-0.50134
"3659",25,0.031936,-0.500693
"3660",25,0.031339,-0.499985
"3661",25,0.032179,-0.499115
"3662",25,0.032475,-0.498752
"3663",25,0.032798,-0.498355
"3664",25,0.033115,-0.497296
"3665",25,0.034095,-0.496102
"3666",25,0.034606,-0.495555
"3667",25,0.034641,-0.495517
"3668",25,0.034639,-0.494496
"3669",25,0.034593,-0.493426
"3670",25,0.034427,-0.492533
"3671",25,0.034454,-0.492205
"3672",25,0.034499,-0.491653
"3673",25,0.033677,-0.490721
"3674",25,0.033875,-0.489543
"3675",25,0.033975,-0.489449
"3676",25,0.034502,-0.488952
"3677",25,0.034358,-0.487618
"3678",25,0.034055,-0.486952
"3679",25,0.034708,-0.486101
"3680",25,0.034682,-0.485531
"3681",25,0.035485,-0.484553
"3682",25,0.035642,-0.483525
"3683",25,0.036337,-0.482378
"3684",25,0.036467,-0.481212
"3685",25,0.036524,-0.481069
"3686",25,0.036855,-0.480237
"3687",25,0.036554,-0.479499
"3688",25,0.036689,-0.47877
"3689",25,0.036793,-0.478012
"3690",25,0.036623,-0.476664
"3691",25,0.036675,-0.475669
"3692",25,0.036416,-0.475689
"3693",25,0.035702,-0.475746
"3694",25,0.035674,-0.475748
"3695",25,0.03547,-0.474407
"3696",25,0.034538,-0.4737
"3697",25,0.034614,-0.472401
"3698",25,0.034154,-0.471477
"3699",25,0.033368,-0.47079
"3700",25,0.033703,-0.470162
"3701",25,0.032778,-0.469776
"3702",25,0.032055,-0.468761
"3703",25,0.032055,-0.468761
"3704",25,0.032308,-0.468119
"3705",25,0.032475,-0.466744
"3706",25,0.031695,-0.464925
"3707",25,0.031312,-0.464253
"3708",25,0.030832,-0.463407
"3709",25,0.029818,-0.462845
"3710",25,0.029032,-0.461927
"3711",25,0.028845,-0.461708
"3712",25,0.02878,-0.459156
"3713",25,0.028759,-0.458138
"3714",25,0.028698,-0.455199
"3715",25,0.028687,-0.454695
"3716",25,0.02862,-0.451677
"3717",25,0.028574,-0.449417
"3718",26,0.269676,-0.327437
"3719",26,0.270152,-0.327133
"3720",26,0.270632,-0.327604
"3721",26,0.270817,-0.328768
"3722",26,0.269936,-0.328678
"3723",26,0.269676,-0.327437
"3724",27,0.219709,-0.313471
"3725",27,0.219165,-0.310215
"3726",27,0.218662,-0.306915
"3727",27,0.219764,-0.306715
