id,poly,x,y
2301,4,0.312609,-0.212304
2301,4,0.312192,-0.211659
2301,4,0.312747,-0.209585
2301,4,0.310933,-0.207986
2301,4,0.31288,-0.20575
2301,4,0.31355,-0.206448
2301,4,0.313868,-0.208003
2301,4,0.314612,-0.208279
2301,4,0.315261,-0.20762
2301,4,0.316875,-0.208005
2301,4,0.31722,-0.206976
2301,4,0.318556,-0.207764
2301,4,0.320241,-0.208519
2301,4,0.32057,-0.208068
2301,4,0.320899,-0.207081
2301,4,0.320615,-0.206882
2301,4,0.32079,-0.206644
2301,4,0.320542,-0.204473
2301,4,0.321916,-0.204393
2301,4,0.322144,-0.203234
2301,4,0.323312,-0.20317
2301,4,0.323391,-0.201629
2301,4,0.320681,-0.20183
2301,4,0.320034,-0.20202
2301,4,0.319357,-0.201903
2301,4,0.31927,-0.200203
2301,4,0.319072,-0.200044
2301,4,0.318988,-0.199456
2301,4,0.322655,-0.199265
2301,4,0.322694,-0.197027
2301,4,0.32209,-0.197058
2301,4,0.322503,-0.196035
2301,4,0.322415,-0.195543
2301,4,0.323172,-0.195494
2301,4,0.324589,-0.195386
2301,4,0.324664,-0.196573
2301,4,0.32563,-0.196855
2301,4,0.325485,-0.199099
2301,4,0.326393,-0.199039
2301,4,0.326825,-0.198713
2301,4,0.327564,-0.199131
2301,4,0.32822,-0.197916
2301,4,0.330513,-0.199238
2301,4,0.331839,-0.199311
2301,4,0.331595,-0.199324
2301,4,0.331727,-0.200418
2301,4,0.331677,-0.201191
2301,4,0.332452,-0.201894
2301,4,0.33221,-0.202681
2301,4,0.332664,-0.203159
2301,4,0.332427,-0.203825
2301,4,0.33176,-0.203974
2301,4,0.331233,-0.204111
2301,4,0.331048,-0.205178
2301,4,0.330701,-0.205325
2301,4,0.330445,-0.206115
2301,4,0.330061,-0.206643
2301,4,0.329361,-0.205731
2301,4,0.328924,-0.205385
2301,4,0.328708,-0.205214
2301,4,0.328524,-0.205876
2301,4,0.328396,-0.206159
2301,4,0.327957,-0.207594
2301,4,0.327345,-0.207702
2301,4,0.327119,-0.208095
2301,4,0.326341,-0.208673
2301,4,0.325835,-0.208958
2301,4,0.325596,-0.209092
2301,4,0.325381,-0.210037
2301,4,0.324813,-0.210486
2301,4,0.324625,-0.211027
2301,4,0.324347,-0.211042
2301,4,0.324003,-0.210152
2301,4,0.323662,-0.210109
2301,4,0.323281,-0.210062
2301,4,0.322604,-0.210811
2301,4,0.322552,-0.211445
2301,4,0.321794,-0.211603
2301,4,0.321689,-0.211625
2301,4,0.321586,-0.212409
2301,4,0.320698,-0.212605
2301,4,0.320565,-0.21318
2301,4,0.320475,-0.214094
2301,4,0.320792,-0.214717
2301,4,0.320398,-0.215154
2301,4,0.319538,-0.215618
2301,4,0.319321,-0.215662
2301,4,0.319043,-0.21572
2301,4,0.318943,-0.216514
2301,4,0.319785,-0.2168
2301,4,0.319309,-0.217761
2301,4,0.319158,-0.218747
2301,4,0.31865,-0.219265
2301,4,0.318003,-0.219374
2301,4,0.317849,-0.2196
2301,4,0.317665,-0.21987
2301,4,0.317523,-0.220851
2301,4,0.317818,-0.221535
2301,4,0.317862,-0.221636
2301,4,0.317883,-0.222692
2301,4,0.317696,-0.223269
2301,4,0.317434,-0.224402
2301,4,0.317047,-0.224806
2301,4,0.316311,-0.224639
2301,4,0.315339,-0.224117
2301,4,0.315208,-0.224046
2301,4,0.315016,-0.223179
2301,4,0.315016,-0.223177
2301,4,0.314986,-0.222504
2301,4,0.314017,-0.221805
2301,4,0.31314,-0.221049
2301,4,0.312169,-0.220378
2301,4,0.312121,-0.219426
2301,4,0.312009,-0.218642
2301,4,0.311919,-0.218018
2301,4,0.31167,-0.217532
2301,4,0.311425,-0.217053
2301,4,0.310716,-0.214871
